韩文程的会议室-说话人01(00:00:00): 两个地方我觉得可以明显一点。
韩文程的会议室-说话人01(00:51:39): 我们为了给销售算佣金的时候，我想有个30天的啥，我过一客户退款这个意思。

韩文程的会议室-说话人02(00:51:45): 我知道，因为你看他购买的时候，你看我购买的时候我是有个，比如说。

韩文程的会议室-说话人03(00:51:51): Thank you. 

韩文程的会议室-说话人01(00:51:52): 选一个 OK。

韩文程的会议室-说话人02(00:51:56): 你看我们现在是有两种支付方式，微信支付332，我们100%知道他是确实付了钱对，但是他就怕因为这个你不可控，你的兑付转账他是一个上传凭证。你是上传名的？

韩文程的会议室-说话人03(00:52:11): 反正采购确认。

韩文程的会议室-说话人02(00:52:13): 咱们还要确认那所以说你就不知道他到底是支付了还是没支付。

韩文程的会议室-说话人01(00:52:18): 我明白。

韩文程的会议室-说话人02(00:52:18): 对因为我现在只要上。

刘书言(00:52:19): 你都等你，你也等开完账号的时候去加上金额不就行了吗？

韩文程的会议室-说话人01(00:52:24): 那我觉得你刚刚那个就是书源，他们不是书源真的那确认后的那个会比较稳妥一点，对我们还有没有？

韩文程的会议室-说话人02(00:52:31): 我们就没开通？

韩文程的会议室-说话人01(00:52:33): 对我们还是不要给老板有这种虚无缥缈的期望，操一看金额是那啥，万一对。

韩文程的会议室-说话人02(00:52:38): 对所以意思都按照最后不按照你这有按，比如说交付人员这里有个可以，我给你开通了，这个我们才给他算成交。

韩文程的会议室-说话人01(00:52:45): 可以我给你开通了，我们才给他算成交就是你确认收入的可以的。

韩文程的会议室-说话人02(00:52:49): 因为你确认收入肯定是一个问题。

韩文程的会议室-说话人01(00:52:52): 没问题，没问题。

韩文程的会议室-说话人02(00:52:53): 对。

韩文程的会议室-说话人01(00:52:54): 我们都要给老板画饼可以给销售画饼都要给老板画饼。

韩文程的会议室-说话人02(00:52:57): 因为那个状态没有缺点，他让我开，我就怕他又要退又要干啥的这些东西。行，那这个又成交了，我现在逻辑没问题。对那这个就是仪表盘，到时候做一些优化 OK 尽快改。接下来企业的新增企业的一些问题，对明白。

韩文程的会议室-说话人02(00:53:23): 还有没有补充的，比如说企业的一些信息名称来源行业这个下面就是它后面会生成一个客户管理的用户信息就是手机号密码，其实这个东西是他的账号。

韩文程的会议室-说话人01(00:53:39): 我们未来面向企业销售的时候都要填这个东西。

韩文程的会议室-说话人02(00:53:44): 填这个到时候我会有一个导入企业。

韩文程的会议室-说话人01(00:53:48): 可以的。

韩文程的会议室-说话人02(00:53:49): 对。

韩文程的会议室-说话人01(00:53:49): 弄个表格。

韩文程的会议室-说话人02(00:53:50): 两个人都会做，我这还没有做这个东西可以优化一下。

韩文程的会议室-说话人01(00:53:52): 可以优化一下可以的。

韩文程的会议室-说话人02(00:53:54): 对到时候我有个表格，他们直接到时候比如说销售统计过来了，直接先维护表格，然后一键导入。

韩文程的会议室-说话人01(00:54:01): 没问题。

韩文程的会议室-说话人02(00:54:01): 对。你或者讲讲。

韩文程的会议室-说话人01(00:54:05): 咱们这边弄一个手下，让那个手下系统就是因为因为这个引力不会那么大。

韩文程的会议室-说话人02(00:54:14): 但是如果说让他们去找路问题也要求代理你知道吗？因为你这表格里边，你看我这里边，你看这里边我是知道我们有哪些单位，但是你要是在文档里面描述这个文档不可控。

韩文程的会议室-说话人01(00:54:30): 所以我会我是想这个企业这边怎么开？你就在下面免费注册那边开，不要让咱们的交付人员去开的是企业交付流程是什么样的，比方说我是销售或者说我是代理对不对，我就说这个曾光就是你的老板，我今天到你们企业里面来讲，讲完之后 OK 我现在给你们开，我作为销售，我先让你们拿码申请一个你们企业的账号。把你们这个企业归属到我的名下，就我刚才说。

韩文程的会议室-说话人02(00:54:58): 就我刚才说的，他代理里面他是有一个邀请码的代理邀请码他我觉得的时候就注册到我的代理下边。

韩文程的会议室-说话人01(00:55:04): 我觉得到时候。对我觉得不要让咱帮咱后台的运维人员或者时候帮他开老麻烦了，对。

韩文程的会议室-说话人02(00:55:12): 明白，你这意思，确实会怼在一块儿，我。

韩文程的会议室-说话人01(00:55:14): 对我如果想要确认成我的收入，那我就把这活给干了，我是销售，我是代理也是一样。人人类明白我的意思吗？我如果想挣这笔钱，那我就把这个活给干了，一定把你们绑在我的名下，这是合理的。

韩文程的会议室-说话人03(00:55:33): 现在我们代理后台是可以？

韩文程的会议室-说话人01(00:55:37): 就一就这个完之后。

韩文程的会议室-说话人03(00:55:38): 就你点我的客户池这么干嘛？在这里是可以做操作的。你你看那你？

韩文程的会议室-说话人02(00:55:48): 新增客户嘛？

韩文程的会议室-说话人03(00:55:49): 现在客户其实可以做操作的。

韩文程的会议室-说话人01(00:55:51): 就是让咱的销售跟代理去干这个事，然后咱只需要咱公司只需要管什么，我给这些销售跟这些代理发的是发的运营规则什么的。

韩文程的会议室-说话人03(00:56:00): 其实这些应该都是打通的。

韩文程的会议室-说话人01(00:56:02): 就自动绑定了？

韩文程的会议室-说话人03(00:56:03): 对这都是打通的，但是就是你你那你说那个东西是我们如何去管运维这个系统，我们其实后台我们也可以开，然后代理也可以开，然后他也可以在前端开。

韩文程的会议室-说话人01(00:56:17): 对你看，我现在有个问题就是我们佣金规则咱们公司来说，我把佣金规则跟销售的规则确定了我现在怎么把谁注册成销售，把谁注册成我的这个代理在哪搞？

韩文程的会议室-说话人02(00:56:31): 这里。

韩文程的会议室-说话人01(00:56:31): 在这。

韩文程的会议室-说话人02(00:56:32): 这里有个内部员工账号。

韩文程的会议室-说话人01(00:56:34): 内部员工。

韩文程的会议室-说话人02(00:56:35): 对，就比如说你现在我要给你俩开，那就去创建两个人的账号，就你俩先提供信息告诉我，给你创个 CM 的一个账号信息，那我。

韩文程的会议室-说话人01(00:56:43): 我的规则能不能搁这配？

韩文程的会议室-说话人02(00:56:46): 柜子在这？

韩文程的会议室-说话人03(00:56:48): 你选的。

韩文程的会议室-说话人02(00:56:50): 你说代理规则有的选了代理之后它才会有约定规则的，你不是代理，没有这个月定规则的概念。

韩文程的会议室-说话人01(00:56:56): 真棒，这个东西，我们只需要管到这一步就可以了。

韩文程的会议室-说话人02(00:56:59): 这就相当于是我给你新增代理新增啥的就是这么一个账号，你用这个是多少？

韩文程的会议室-说话人01(00:57:02): 对多少你用这个是多少？

韩文程的会议室-说话人02(00:57:05): 这个样子。

韩文程的会议室-说话人01(00:57:05): 这个样子。

韩文程的会议室-说话人02(00:57:07): 对内部员。

韩文程的会议室-说话人01(00:57:07): 后边的话基于我的码，或者说我帮在我的账号名下，我给他们添加的客户就按我的规则算。

韩文程的会议室-说话人02(00:57:16): 是就是按照所有结算都是按照这笔订单，然后你的代理是谁，我给你结算的时候就是按照你的。佣金规则来算。然后这个是没有问题了，因为定会的其实也会有那个啥，当时咱这自动匹配的。

韩文程的会议室-说话人01(00:57:26): 都没有问题。

韩文程的会议室-说话人01(00:57:29): 就自动匹配了嘛？

韩文程的会议室-说话人02(00:57:31): 你看这个佣金规则，它会就刚才咱说的哪个时间段很棒，这刚才咱就聊过，然后算佣金也是这个订单在这个区间内。

韩文程的会议室-说话人01(00:57:38): 什么的。

韩文程的会议室-说话人02(00:57:42): 按照6%是没区间，可能就。

韩文程的会议室-说话人01(00:57:45): 只有咱们能看着！

韩文程的会议室-说话人02(00:57:47): 对这些都是我们要给销售看。

韩文程的会议室-说话人01(00:57:49): 我不要给销售看。

韩文程的会议室-说话人02(00:57:50): 可以没有修都没。

韩文程的会议室-说话人01(00:57:54): 可以的。

韩文程的会议室-说话人02(00:57:54): 也是没有这个东西。

韩文程的会议室-说话人01(00:57:55): 可以的。

韩文程的会议室-说话人02(00:57:58): 我们来看。

韩文程的会议室-说话人01(00:58:00): 那咱们刚刚那个界面就是不存在这个问题了，我还要去给他选择的客户的分配规则是什么？你看新的客户那边运营规则是自动根据人员来绑定的。

韩文程的会议室-说话人02(00:58:13): 你说这里哈？

韩文程的会议室-说话人03(00:58:15): 只要是从他自己的账户里账户去开的，肯定是把他自己的。

韩文程的会议室-说话人02(00:58:21): 我就相当于我们把企业的刚才新增企业流程放到代理里边这里对我记录一下。

韩文程的会议室-说话人03(00:58:26): 对没错！

韩文程的会议室-说话人02(00:58:33): 不需要选代理。

韩文程的会议室-说话人03(00:58:35): 对这页面是一样的，不用你可以导入了，没错。

韩文程的会议室-说话人02(00:58:37): 你可以导入了，没错。

韩文程的会议室-说话人01(00:58:42): 早上起来，反正这个字段是自动评的。

韩文程的会议室-说话人03(00:58:45): 大家会。如果用户免费注册进来，这一些先归到我们那个客户实力公客户实力就我们自己领导智联的一个大的一个代理是我们会，我们现在是逻辑是人群，是不是？

韩文程的会议室-说话人02(00:58:51): 实力工作实力。不是这样的，现在如果说是外部用户没有代理没有你比如说你就拿了一年过来，你也没带代理，现在全部是挂到我们自己本来就是一个散户，你又。

韩文程的会议室-说话人01(00:59:08): 那你后后面可以把这个分给某一个可以分客户可以，那是完整的和完整的。

韩文程的会议室-说话人03(00:59:15): 整个就赚钱了。

刘书言(00:59:17): 王你刚才记的不太不是新增一个这两个数据是互通的，就在这边也可以加在那边也可以加吧？

韩文程的会议室-说话人02(00:59:26): 我就保留就行了，这里我做个保留。

刘书言(00:59:29): 对就是这两边是两个入口，两边都要留着，一个是我们帮他加一个他自己加。

韩文程的会议室-说话人01(00:59:38): 是我们帮他加跟客户自己注册是一个逻辑，就是你们把它分配给谁。

韩文程的会议室-说话人02(00:59:42): 把它分配给谁对，因为这里我们相当于创企业要去选择是哪个代理？

韩文程的会议室-说话人01(00:59:48): 对我们一定要把它分分配的，有个销售跟着他。

韩文程的会议室-说话人02(00:59:52): 这个时候我们要选代理的时候，直接在代理就不需要去选。

韩文程的会议室-说话人01(00:59:56): 那你这边，那是咱分配的话，直接分配到人就好，分配到人或者公司就好了，你这边就不是规则。

韩文程的会议室-说话人03(01:00:05): 不是他，他会他是那前你要看前面那些，这里是。

韩文程的会议室-说话人02(01:00:08): 有这里是代理人会不会还给我显示为佣金，这个可能会很多，不是代理这个后面是挂了一个，比如说你这代理多少佣金？

韩文程的会议室-说话人03(01:00:12): 可能会很多，不是啥？

刘书言(01:00:18): 他就是把人名起成了代理1号代理2号。

韩文程的会议室-说话人03(01:00:18): 他你？

韩文程的会议室-说话人02(01:00:22): 对我现在里面。

韩文程的会议室-说话人03(01:00:23): 我现在你没有他后面的佣金金额。

韩文程的会议室-说话人01(01:00:27): 你直接分配给人就行。

韩文程的会议室-说话人02(01:00:28): 可以不显示就行了，我把这几个字给它删掉就行。

韩文程的会议室-说话人01(01:00:32): 还有一个问题后边咱们可能有几十个或者上百个，你这边肯定还在搜索。

韩文程的会议室-说话人02(01:00:36): 没问题，这我们可以加的。

韩文程的会议室-说话人01(01:00:38): 可以加，然后换的人我把分配给谁分配给雷雷，我就搜个雷雷，然后分配给他。

韩文程的会议室-说话人02(01:00:43): 都属于页面的一个优化效果。

韩文程的会议室-说话人03(01:00:46): 其实你加一个人名加一个工号就可以去融了他那个人名。

韩文程的会议室-说话人01(01:00:51): 又重复了？

韩文程的会议室-说话人03(01:00:52): 因为我们已经有。

韩文程的会议室-说话人01(01:00:52): 各位，我们已经有工号了，我们已经。

韩文程的会议室-说话人03(01:00:54): 我们已经自动生成工号了。

韩文程的会议室-说话人01(01:00:57): 很棒，有工号了，因为以后可能要重名的。

韩文程的会议室-说话人01(01:01:01): 这里都有工号，你到时候？

韩文程的会议室-说话人02(01:01:02): 账号有就行。

刘书言(01:01:05): 按手机号吧，工号谁能记住你自己自动生成这个东西人家都不会记的。

韩文程的会议室-说话人02(01:01:10): 手机号也是唯一的，现在就手机号，你必定是唯一的，因为你登录只有一个手机号，你同步都不能去同步一个账号。

刘书言(01:01:14): 对你们后面后后面显示的话按手机号，这个东西工号他们还得再查费劲。

韩文程的会议室-说话人02(01:01:20): 我们这一个手机号，你注册完之后进来你就不能再重复去注册了。

韩文程的会议室-说话人02(01:01:26): 可以。

韩文程的会议室-说话人01(01:01:26): 可以的。

韩文程的会议室-说话人02(01:01:27): 是因为因为对于我们来说都是注册的一个对你要就是管理员，你要是在你要财务，你不能说可以对我们没有把比如说。一个人开几个权限，这个是直接在代码在底层代码里面去写的，可能正常的话就一个用户就一个角色，所以说他的黑板是不会重复可以。

韩文程的会议室-说话人03(01:01:45): 我有什么问题？

韩文程的会议室-说话人02(01:01:47): 那这个就是内部员工大概也说了，然后代理这块也讲了，然后流资就是从刚才官网流资过来的。

韩文程的会议室-说话人03(01:01:59): 明白。

韩文程的会议室-说话人02(01:02:00): 在后置。

韩文程的会议室-说话人03(01:02:01): 现是会要线下导入导出。不是跟你们已经讨论清楚了，就不会进入代理界面，这个就是线上的留资，然后会要导出来，然后让我们先用手动去分配代理？

韩文程的会议室-说话人01(01:02:23): 会有为啥？因为咱会有这些公共活动嘛，比方说我跟韩教授我们出去我们要讲的话，这些大规模的一些企业或者是想要注册，想要购买肯定通过我俩渠道，比方说我俩可能通过咱公司这个渠道让他们都进来之后到这个地方。这是咱们企业营销活动嘛？

韩文程的会议室-说话人03(01:02:42): 然后。

韩文程的会议室-说话人01(01:02:43): 然后我们再给他分配，具体的是谁去跟进？有人在？

韩文程的会议室-说话人03(01:02:46): 有的在分配，因为我们。

刘书言(01:02:50): 对咱们上次开会不是说不需要分配代理吗？

韩文程的会议室-说话人03(01:02:57): 啥时候。

刘书言(01:02:59): 不是我在我们这个官网上不需要搞这个，我是我们上回开会，我跟增光他们这个到时候导出来直接搞到那个 CRM 里边，你们再线下分配。

韩文程的会议室-说话人02(01:03:10): 你刚刚素言说这个东西系统上这个流资只是做一个展示所有的分配都是在 cm 里边去给它分配这些东西。

韩文程的会议室-说话人01(01:03:21): Cm 跟这个有关系。那 cm 跟这个有关系，我理解 cm 是这玩意儿的过渡，就是这个，当时说的是这个只做一个展示，我理解 cm 这个东西的过渡。

刘书言(01:03:33): 不是他们现在你现在他们现搞了要分配代理，后面还有一系列流程搞太复杂了。

韩文程的会议室-说话人01(01:03:40): 你这个就跟刚刚那个一样的，是不是我就直接分配给人了？

刘书言(01:03:48): 你你线线下一套线上一套，你感觉有必要吗？

韩文程的会议室-说话人01(01:03:50): 现在我们可能有个跟进客户的一个流程。我以为没必要，我说我们现在搞的 CI M 我理解这玩意的过渡。

刘书言(01:04:00): 那我看飞总他们的意思好像这个 CRM 不是过多，他一直要用这个东西。

韩文程的会议室-说话人01(01:04:06): 咱们留一个遗留问题吧，我们晚点确实再讨论一下，你想树源我也是这个问题，你 CI M 里面去管理客户跟进干嘛的，然后你分配代理你到这个地方你还要再给他，你事实上后边还要再分配。

刘书言(01:04:21): 对。

韩文程的会议室-说话人01(01:04:24): 或者是啥，或者可以有一个问题，就是我们在 cim 里面管理客户，商机管理客户线索到我们这边最终要产生购买的都让代理就走，我们刚刚那个流程新增客户对，就我们就这个意思，还是你们线下可以维护。

韩文程的会议室-说话人02(01:04:46): 做好规划之后给代理自己去代理自己去创业。

刘书言(01:04:48): 对其实我的意思就是说这个里边加一个导出，然后我们回头实时的维护到那个 CRM 里面嘛，那个 CRM 里面那个线索来源也有一个是来源于官网这个。

韩文程的会议室-说话人01(01:05:00): 就是 cim 只负责啥，只负责我们培训。然后销售，销售跟进。一旦一旦什么，一旦要成交了成交这边是个界限嘛，就回到咱们这个云脑的这个这里边来，咱们的云脑这里边不管过程了，我只管结果，你们成交的话就到我这边来注册客户，然后购买。生效。算优。

韩文程的会议室-说话人01(01:05:40): 这个其实也可以，就是啥，CI M 只管前面这个部分成交之前不要定一个系统，我们到时候系统里面管的乱七八糟的？

韩文程的会议室-说话人02(01:05:49): 对是流失，其实就是一个前置的那些东西就没到我们这边。

韩文程的会议室-说话人01(01:05:54): 淑媛我觉得也合理，咱们按时间来算！

刘书言(01:05:55): 对是我就是这个意思！

韩文程的会议室-说话人02(01:05:58): 这就是之前去年说的。

韩文程的会议室-说话人01(01:06:00): 我觉得可以的。

韩文程的会议室-说话人02(01:06:02): 流资就应该一些咨询问题，后边导出来分配一个。

韩文程的会议室-说话人01(01:06:07): 对现在我觉得流资管理也能做成实的，为啥？我们就等于是公网公共流量自然流量。那自然流量他的购买意愿是相当强的，要不然他不会留资了**。可以的，这边分配代理也可以做，因为为啥，这是自然流量，我就真的想买了，我才会留这么详细的信息让你们来联系我，然后看帮我买它其实就是成交前最后一步了，所以这个是可以留的。

韩文程的会议室-说话人01(01:06:44): 数学你理解吗？

刘书言(01:06:45): 我理解。

韩文程的会议室-说话人01(01:06:47): 这个流资管理就变成啥了，就变成公网的自然流量，我们给他分配。

韩文程的会议室-说话人02(01:06:55): 最后分配代理是还是按照这里边去分配？

刘书言(01:06:58): 不，你可以改一下增光，这就别分配代理了，就给他要不我感觉最简单的方式就是导出来，让我们那个运维人员后续把每天的流资导出来，然后搞到那个 cim 里边去。再来分配，因为你在这里分配的话，你后续的什么商机的转化，这些他都监控不到！

韩文程的会议室-说话人01(01:07:22): 没法跟可以的。

韩文程的会议室-说话人02(01:07:25): 那你还是按照苏妍以前做逻辑来走就行。

韩文程的会议室-说话人01(01:07:27): 可以的树叶。

韩文程的会议室-说话人02(01:07:30): 那就我们先不改就还是不让他分配。

韩文程的会议室-说话人01(01:07:33): 就咱只维护一条流程。

韩文程的会议室-说话人02(01:07:35): 我们就说白了就一个导数就行。

韩文程的会议室-说话人01(01:07:38): 可以的。

韩文程的会议室-说话人02(01:07:38): 让你打过来去那啥？

韩文程的会议室-说话人02(01:07:42): 行，然后这个流程也说了，套餐管理其实就一个套餐的流程就没啥，这就是一个注册流程。

韩文程的会议室-说话人01(01:07:54): 套餐就是我们在官网上卖什么的，我们在这维护？

韩文程的会议室-说话人02(01:07:57): 对！

韩文程的会议室-说话人01(01:07:58): OK 了。

韩文程的会议室-说话人02(01:07:59): 基建的还没推，本来就这个商品的正常检查。还有一些历史的谈判就是做了一些这种功能。

韩文程的会议室-说话人01(01:08:08): OK。

韩文程的会议室-说话人02(01:08:09): 对是没有特殊的一些功能。

韩文程的会议室-说话人01(01:08:12): 咱们见面欠少一下吗？前面。

韩文程的会议室-说话人02(01:08:17): 见面对。

韩文程的会议室-说话人01(01:08:18): 我们这个先做，我刚我就无需的讨论一个问题，就是后面我们这些有一些过程看能不能让小贝一下，自动帮我们监测界面的一些数据，然后归到里边来，咱们就不用派专人每天点进来看一下。咱们后边再说，先把这个跑起来，比如需要从那边提一个问题，咱遇到这边用公司的账户注册一个小平台，里边有好几个能力。

韩文程的会议室-说话人03(01:08:38): 就需要他们只需要从这边提供的 API。

韩文程的会议室-说话人01(01:08:47): 给他绑到这里边来。

韩文程的会议室-说话人03(01:08:49): 这边提供一个 API 的，比如增删改 API，然后他们去做。

韩文程的会议室-说话人02(01:08:52): 我知道。

韩文程的会议室-说话人01(01:08:54): 就可以为小程序调用？

韩文程的会议室-说话人02(01:08:55): 我知道我们现在插件就那么。

韩文程的会议室-说话人01(01:08:58): 对可以的，这样子咱们可以后边很多东西都可以自动搞了。

刘书言(01:09:04): 行就自动化，我们先记一下，然后往后面迭代。

韩文程的会议室-说话人01(01:09:08): 不要自动化场站，就是我们不要把小平台切到界面里来就增光把咱们这些系统的这些后边空出时间出来之后给它写成 API，可以被动一下调用。

刘书言(01:09:23): 我明白你意思？

韩文程的会议室-说话人01(01:09:25): 后边咱们再自己在公司里再配一个东西！

韩文程的会议室-说话人01(01:09:29): 就专门做咱们后后面的这些运维辅助。

韩文程的会议室-说话人02(01:09:32): 行这个系统就不用人来操作了。

韩文程的会议室-说话人01(01:09:33): 系统不用人来操作。

韩文程的会议室-说话人02(01:09:36): 行，然后到订单了，订单就会涉及到发票，那就还是要从客户这里来走。

韩文程的会议室-说话人01(01:09:44): 发票申请。

韩文程的会议室-说话人02(01:09:45): 这里就是比如说。我支付了，然后也给他开通了。

韩文程的会议室-说话人01(01:09:54): 明白。

韩文程的会议室-说话人02(01:09:54): 然后就这就要开票，就没啥，就是申请。

韩文程的会议室-说话人01(01:09:58): 申请现在从来没？就这个流程。

韩文程的会议室-说话人02(01:10:00): 这个流程？

韩文程的会议室-说话人03(01:10:01): 能批量吗？能批量申请发票吗？

韩文程的会议室-说话人02(01:10:04): 这个很明显。

韩文程的会议室-说话人03(01:10:05): 没必要批量的，你一个申请，到时候再谈他一个订单。

韩文程的会议室-说话人02(01:10:09): 他一个订单他订单是包含10个，他买一次可能反应一年。

韩文程的会议室-说话人03(01:10:12): 对我们不是不，我们不是说是111个席位，一个订单是一次性，它只要下了有10个，20个，30个可以产生一批？我就我想咱们现在咱们在火山那边其实产生了好几条购买的，那是不是我们正常的企业，它就一次性下下完吧，也不一定这里面。

韩文程的会议室-说话人02(01:10:33): 到时候可以。

韩文程的会议室-说话人03(01:10:35): 对。

韩文程的会议室-说话人02(01:10:35): 对就属于后边的优化的，比如说不好用了，就是后边，这是我们优化点你。

韩文程的会议室-说话人01(01:10:39): 你为你先保留这个页，先保留他不要做后边，如果说咱这个需要。

韩文程的会议室-说话人02(01:10:43): 咱有客户提，比如说你们没有导出发票，其实这就相当于客户提出来的一些可能对。需要这里优化，可以加 sip。

韩文程的会议室-说话人01(01:10:51): 这里优化我们先保留。

韩文程的会议室-说话人02(01:10:54): 行，然后客户这里还有个合同管理，就是因为现在我没有电子签嘛，所以说现在可管理就是在这个企业里边有个详情，有个合同，这里新增合同。

韩文程的会议室-说话人01(01:11:10): 我买一笔签一笔合同自动签一笔合同每笔多少钱每笔？

韩文程的会议室-说话人02(01:11:13): 多少钱每周？

韩文程的会议室-说话人03(01:11:15): 这是让你们定你们合同是如何去给？

韩文程的会议室-说话人01(01:11:19): 我这边合同现在是分成了三个，我们现在是没有产生正式购买的，所以我是大订合同，跟代理合同，还有正式购买合同，未来客户使用的就是正式购买合同，我这一批买多少，我自动这一批合同签多少比方？

韩文程的会议室-说话人03(01:11:36): 这自动的还是让财务人员去上传自动的非要拆吗？现在我们还没有能力。

韩文程的会议室-说话人02(01:11:44): 也没。现在就现在手手？

韩文程的会议室-说话人03(01:11:46): 手动传？

韩文程的会议室-说话人01(01:11:46): 手推的手。

韩文程的会议室-说话人03(01:11:48): 都上传。

韩文程的会议室-说话人01(01:11:48): 上传的话我都不建议你，你搞这么多了，是不是直接上传个附件得了？

韩文程的会议室-说话人03(01:11:55): 也可以。你如果选就是客户那边看的清晰明白！

韩文程的会议室-说话人01(01:12:01): 那咱们现在管理这玩意管理太麻烦，因为你这玩意弄了之后就有点钱对。

韩文程的会议室-说话人03(01:12:07): 是的，现在。

韩文程的会议室-说话人01(01:12:08): 我们。

韩文程的会议室-说话人03(01:12:10): 还没到。

韩文程的会议室-说话人01(01:12:12): 后边上了电子签之后，他的场景是客户购买的时候，现在就带一个合同默认他就同意了，然后最后只说他签个名就好，这就把合同签好。

韩文程的会议室-说话人03(01:12:23): 就只维护上传的类型和内容。

韩文程的会议室-说话人01(01:12:29): 没有。

韩文程的会议室-说话人02(01:12:29): 我的婚。

韩文程的会议室-说话人03(01:12:30): 我觉得。

韩文程的会议室-说话人01(01:12:31): 我就是因为你让谁来听？

韩文程的会议室-说话人02(01:12:31): 我就是因为。

韩文程的会议室-说话人01(01:12:34): 这都是都这都是一个工作那啥？

韩文程的会议室-说话人02(01:12:37): 就到时候给一个，比如说哪个公司的合同，你直接先上传上来算了，就在流量公司这边上传。

刘书言(01:12:42): 对这个合同我上次不是也说感觉内容有点多了吗？就直接给个附件得了。

韩文程的会议室-说话人01(01:12:48): 对你得。

韩文程的会议室-说话人02(01:12:49): 开始维护。

韩文程的会议室-说话人01(01:12:49): 就问了。

韩文程的会议室-说话人02(01:12:50): 是的。精美。

韩文程的会议室-说话人01(01:12:59): 是在这个环节加入电子签，预计周期是多长时间，书源你之前做过的？

刘书言(01:13:07): 电子前对接很快，一天就对完了。

韩文程的会议室-说话人01(01:13:13): 没听到。

刘书言(01:13:15): 我说电子签对接很快，他就是调电子签接口，一天就对完了。

韩文程的会议室-说话人01(01:13:20): 调调接口，这我买这个钱走。

韩文程的会议室-说话人02(01:13:23): 只要通过之后他就他提供了就。

韩文程的会议室-说话人01(01:13:25): 那能不能研究，看能不能这一期给他那啥了，直接上了。

韩文程的会议室-说话人02(01:13:30): 今天韩总，韩总说不是思恒他们那边弄，我弄我电子签，然后。

刘书言(01:13:30): 不是？

韩文程的会议室-说话人01(01:13:35): 那你问问看能不能加？

韩文程的会议室-说话人02(01:13:36): 对，然后韩总今天下午说让咱们让你我也得打个电话，然后问一下他那个电子签给你们。

韩文程的会议室-说话人01(01:13:41): 那这样子去自动的？给你们都打朱岩，你你列个你的任务项，就是你跟思鹏确认一下他之前。

刘书言(01:13:48): 不是你等一下我打断一下这个电子签，虽然说接口对的快，但是它有前置工作，有些企业认证，还有他那个余量，什么东西，这期这几天我怕上不去。

韩文程的会议室-说话人01(01:14:03): 我知道，我先跟你说一下就是啥，你说的是我们正常向面向外部企业购买的嘛，你先今天晚上吧，你给那个思鹏打个电话确认一下他之前使用的电子签是什么样的条件，看看我们需不需要做什么工作，你先了解一下好不好，这个留一个遗留工作，然后如果说可以的话，你就把它归类到我们这个期，这一期里的范围里面去不行的话，我们排期排到下一个版本里面。

刘书言(01:14:35): 这个其实都不用问他，我之前不干电子签的嘛，这个这期肯定上不去，还得做认证，然后还他们是用的 saassaas 的话还得充值，然后还得维护模板这些东西。

韩文程的会议室-说话人05(01:14:47): 这个周期大概是多长时间？

刘书言(01:14:52): 这个周期得看老板娘他们配不配合，这还得上传这些东西还得需要法人或者对公打款的这些。

韩文程的会议室-说话人01(01:14:59): 这个问题没有这个问题没关系，到时候我跟你一块来搞这个东西，我跟你一块拉人，然后你就评估客观一下，就是如果说流程都是很顺畅，然后盖章什么都没问题的话，我们最快可以多长时间？

刘书言(01:15:14): 我感觉按我们的按我们财务还有老板娘他们响应的效率最快也得个两三天。

韩文程的会议室-说话人01(01:15:21): 那这个没问题，我觉得这不用这一类里面了，然后需要其他什么工作的话，你来跟我说，我来跟你一块搞。

刘书言(01:15:28): 前期工作行也行，这问题是电！

韩文程的会议室-说话人01(01:15:31): 你也先了解一下四恒那边他们用的电子签是啥玩意的，看咱们能不能就直接用，有没有可能。

刘书言(01:15:41): 直接用的话就看他有没有，就看他充不就看他充的钱够不够了。

韩文程的会议室-说话人02(01:15:46): 行，你问一下他行不行？

刘书言(01:15:48): 行。但是这一期增光你们评估一下这个改动还来得及吗？还要预留时间给测试！

韩文程的会议室-说话人01(01:15:58): 雷雷雷你评估下这个事，就是在购买的时候自动带一个合同基本上已经好了，然后这个合同里边的话，咱们把这个东西弄进去，就客户点击购买，然后其实就打个勾吧，就代表我承认这个合同了。

韩文程的会议室-说话人03(01:16:15): 这个是要不还是放下去你评我觉得应该评委？

韩文程的会议室-说话人01(01:16:18): 可以先评估一下，因为你说你做下。

刘书言(01:16:19): 身高。

韩文程的会议室-说话人03(01:16:21): 做曾光现在做的所有的工作他都是等于是。其实这个也不影响你不影响现在组织的吗？

刘书言(01:16:27): 世康这个电子签我还有个问题，电子签你是希望他们盖章还是签字？

韩文程的会议室-说话人02(01:16:34): 签字吧。

刘书言(01:16:36): 他们你电子签还有个问题是你希望他以个人身份还是企业身份去来搞。

韩文程的会议室-说话人02(01:16:37): 盖章我觉得也很麻烦。对咱们现在是 TOB 的？

