韩文程的会议室-说话人01(00:00:00): 我们这有个创建那激活码要创建。这些细微信息都在我们这边去维护对。
韩文程的会议室-说话人04(00:52:49): 这个是很好做，你把它的这个接口1:1的要过来，你把它的界面1:1的设计好流程稍微不一样，比如付款流程，大家再确认的时候，你你刚才设定的流程一点毛病都没有，顶多就是他用用咱网页的流程不一样，就是比如说什么如何付款进来的时候如何初始化，流这个流程不一样，包括有些给该给运维看的这些界面什么东西就不让用户看见了。

韩文程的会议室-说话人01(00:53:15): 这个层面其实我们来做的嘛，但是对这些可能是我们来做的。

韩文程的会议室-说话人04(00:53:16): 咱其实只是控制了一下可视范围这个事，然后背后的功能，所有的功能都是火山的那个调用不需要。

韩文程的会议室-说话人01(00:53:20): 对。对就不需要走我们这边可以我们可以存一份对。

韩文程的会议室-说话人04(00:53:28): 我们可以存一份，但是实际上都是调他的！

韩文程的会议室-说话人01(00:53:33): 那就不需要我因为因为因为我想这些东西所有都不要。

韩文程的会议室-说话人04(00:53:37): 所以你们不要搞复杂了，这事其实很简单，就1:1复刻就这么简单，就换来个用户1:1复刻咱的客户和用户不是11对应，但就咱就1:1复刻所。

韩文程的会议室-说话人01(00:53:47): 要不然他们也知道也是为了他们做，我们这边也是为了多做赚一。

韩文程的会议室-说话人04(00:53:49): 那都知道，东西对这光明正大的，从来都是这么说的，光明正大的！

韩文程的会议室-说话人01(00:53:55): 行，那你能说了？

韩文程的会议室-说话人04(00:53:57): 咱答应人家一年给人卖几万个席位几千万，你哪个企业能一年用几千万个能花几千万在这上面，哪个企业有2万个员工需要买这玩意，这就是往外卖的，这个咱就跟人说的一清二楚的。

韩文程的会议室-说话人01(00:54:09): 因为他们也是为了赚钱我们。

韩文程的会议室-说话人04(00:54:10): 本来就是这样，没有任何问题，不要藏着掖着，没有藏着掖着的！

韩文程的会议室-说话人01(00:54:18): 主要是？

韩文程的会议室-说话人02(00:54:21): 这边就是要吗？还是怎么过？

韩文程的会议室-说话人03(00:54:24): 看看看你那几个角色，其实现在就三个，我们自己的管理员，然后客户管理员。

韩文程的会议室-说话人04(00:54:30): 对销售的销售这些东西是在咱是销售，咱这边叫分账，包括他的代理。这销售也是算算是代理吧，就是销售可能就顶多分账比例不一样，就可以叫可以说都叫代理销售，咱的业务员可以最低级，最最低等级代理就是分成比例最低嘛，分个5%什么的，高级的就是分成比例高功能页面可以是一模一样的，这个就代理。

韩文程的会议室-说话人02(00:54:55): 就在上面讨论了。

韩文程的会议室-说话人04(00:54:57): 上面讨论了管管理员页面是给咱自己用的吧。咱管理学这个跟他跟火山没关系，销售也是跟他们没关系，管管理员有点关系，管理员里边有些配置什么的接口还是就是相当于把火山界面里边跟配跟初始化配置什么东西绑定有关的东西，咱可以，挪到这边来给咱自己人用嘛？

韩文程的会议室-说话人01(00:55:00): 就我们自己怎么做，对和他没关系。

韩文程的会议室-说话人02(00:55:17): 到这边来给咱自己人用初始化绑定的，比如是。

韩文程的会议室-说话人04(00:55:22): 就是绑定企微绑定就是整个企业绑定企微就是。

韩文程的会议室-说话人01(00:55:30): 奥特库嘛，所以会所以。

韩文程的会议室-说话人03(00:55:32): 明白了。就比如说现在他们没有做租户，然后我们这个设计模式就是说先在我们这创用户，然后再去再创一个租户嘛，对。他设这个订单，咱是人工给他去买，在火山那边给他买。

韩文程的会议室-说话人04(00:55:48): 不会本身调 API。

韩文程的会议室-说话人01(00:55:50): 他现在不是？

韩文程的会议室-说话人03(00:55:51): 他现在不是没有？

韩文程的会议室-说话人01(00:55:52): 那他不是说嘛，所有东西都全部调他们那边了。

韩文程的会议室-说话人04(00:55:55): 会他们会上他们5月中旬会上。

韩文程的会议室-说话人03(00:55:58): 他们上完了以后，他的 API 能细到什么程度，能不能满足我们这个东西是一定的，这已经是未知数了。

韩文程的会议室-说话人04(00:56:03): 一定的一定的你跟他提需求，这属于是下午增光跟战队。

韩文程的会议室-说话人01(00:56:09): 那我们现在那，但是我们现在开发这个，其实对他们没有多做，那如果说后面多做改一下逻辑，那其实我们这边逻辑也要处理。

韩文程的会议室-说话人04(00:56:17): 不用，所以他那边，所以今天下午跟他问清楚，按理说他一个租户的功能就和现在一个用户的功能是一样的，只不过一个用户可以开多个租户而已，按理说就是这样的，你去跟他，这咱跟他提需求，咱是他的甲方。

韩文程的会议室-说话人01(00:56:35): 咱要。

韩文程的会议室-说话人04(00:56:35): 咱要跟他提需求，咱一年背着他5000万的 KPI，咱得咱要给他提需求的！

韩文程的会议室-说话人02(00:56:42): 哪些。

韩文程的会议室-说话人04(00:56:43): 说是那我取消掉那个有问题，我觉得官方管理员其实是在他那个企业管理员的基础上额外增加功能，因为有些功功能，因为有些怎么说，因为有些配置，他们就是比如席位分配什么，他们自己的可能也玩不明白，可能也得是咱的管理员去做。当然你可以通过角色切换切！

韩文程的会议室-说话人02(00:57:15): 我对我理解，比如果是像我们在不管关不关联，就是我们运维相关，他就给他做这个事情，比如链接到这里，就这个企业的东西，我直接从这里可以进入他的，我们就不用。

韩文程的会议室-说话人03(00:57:27): 我感觉不用看到时候交付团队都他们账号帮他们配就行。

韩文程的会议室-说话人04(00:57:32): 这样也行。

韩文程的会议室-说话人02(00:57:33): 这样子就我们的工作量会减少也可以？

韩文程的会议室-说话人04(00:57:35): 也可以 OK 但是这里咱不需要有这个东西。

韩文程的会议室-说话人04(00:57:40): 咱不需要有东西，他也是这租户。

韩文程的会议室-说话人03(00:57:43): 他也是。

韩文程的会议室-说话人01(00:57:45): 对这个子账号？

韩文程的会议室-说话人04(00:57:46): 对这就是子账号嘛，对这就是子账号，其实租户其实就是子账号，咱不需要有这个东西。

韩文程的会议室-说话人01(00:57:54): 再回的那现在我，但是现在的话他们会来是通过，但是现在其实现在我们所有的客户对他们来说都是一个就是主账号嘛，就我们现在登录完主账号。

韩文程的会议室-说话人04(00:58:05): 对他们都租户系统了。

韩文程的会议室-说话人01(00:58:06): 然后做之后，那我们现在我们这边是区分了租户信息，那后边可能就是有对应的参数去区分的对比如说这个企业里边挂这个勾，然后那可能后面就改成。

韩文程的会议室-说话人04(00:58:14): 比如说。他肯定可能会加加一个额外的参数。

韩文程的会议室-说话人01(00:58:20): 加额外的企业标准的什么之类的，他可能说后边可能要去。

韩文程的会议室-说话人04(00:58:22): 租户 id 之类的，现在可能直接一个 user id 就可以操作获取的这些东西了，有可能。

韩文程的会议室-说话人01(00:58:27): 现在就跟他所有企业用的是我们一个主账号。

韩文程的会议室-说话人04(00:58:30): 对有你他也有可能多租户，可能我为他们为了省事，很有可能就是咱用这个不同租户，他会给咱分配不同的优的 ID 无所谓，这东西就看跟他细节都。

韩文程的会议室-说话人01(00:58:39): 先看对，所以说意思，我们现在开发，其实他们这边多租户怎么管，我们所以说你就先也不用。

韩文程的会议室-说话人04(00:58:45): 你就先也不用你今天，所以你今天先问好他们如何去开发这个多租户对，然后。

韩文程的会议室-说话人01(00:58:50): 对，然后我大概没留个口子。

韩文程的会议室-说话人04(00:58:51): 对咱预留好口子，然后咱就开发就行了。

韩文程的会议室-说话人01(00:58:53): 对，然后后面比如说他们要改，我们就把用的租户加一下，然后可能就是信息就根据租户 ID 来去分配。

韩文程的会议室-说话人04(00:59:01): OK 对咱的官方管理员，我看你官方管理员怎么设计，因为这块是咱自己的。

韩文程的会议室-说话人01(00:59:05): 现在。

韩文程的会议室-说话人04(00:59:06): 就是这个页面，企业管理官方管理员。

韩文程的会议室-说话人02(00:59:06): 这个页面。

韩文程的会议室-说话人04(00:59:09): 我看看对就不同的。

韩文程的会议室-说话人02(00:59:15): 我们下面的租户嘛？

韩文程的会议室-说话人04(00:59:16): 不对，这是租户嘛，这是租户没问题，你也可以点从那里点进去，直接进到租户的页面了？

韩文程的会议室-说话人02(00:59:17): 这是？也会。做一些详情。

韩文程的会议室-说话人04(00:59:26): 也行，没问题，那可以咱初期为了省事，咱可以按树贤说的，如果要对租户下边就是本身的一些管理，咱直接就让他登租户账号就行了，可以。

韩文程的会议室-说话人01(00:59:36): 其实一般可以一般。

韩文程的会议室-说话人04(00:59:39): 可以这样，你先退回来。

韩文程的会议室-说话人02(00:59:41): 从这里再加一个链接。

韩文程的会议室-说话人04(00:59:43): 不用手动登也行，咱一点点一点点来，可以先往简单的做，这样开发起来比较快，然后那个有个问题就是这个东西要不要做可视化，要不要做那个要不要做权限就是不同的官方管理员看能看到的企业是不一样多的还是可以先不做。

韩文程的会议室-说话人01(01:00:01): 课前不做。

韩文程的会议室-说话人02(01:00:02): 第一，我觉得现在做全全全来了，之前我设计了四个四种角色，但是感觉好像我们团队都没拉起来这个量没？

韩文程的会议室-说话人04(01:00:09): OK OK OK OK OK 那就先不管这个，然后销售那个我看一下销售那个就改成代理就行了，就是咱自己的销售员，就是我们说嘛，就是最不就是分分成比例不一样的代理。

韩文程的会议室-说话人02(01:00:21): 代理叫代理工作台？

韩文程的会议室-说话人04(01:00:22): 提现什么也做一下佣金明细没问题，就包括提现什么也做一下。

韩文程的会议室-说话人02(01:00:28): 提现，我们刚才说我们跟他讲要去确认的，就这个提现是不是他提现方式是什么，比如说我们的我们自己销售，他提现是按工资发。

韩文程的会议室-说话人04(01:00:32): 时间表。比如说。他说提现提一个表单。就是表单申请提现，然后咱再做一个什么财务，再有一个角色财务就是用来只用来审批这个那个提现申请，然后他来处理，无论是给客户转钱还是给那个不无论是给咱代理转钱，还是给咱自己的销售去发工资就是。

韩文程的会议室-说话人01(01:01:05): 搞个最大安全。

韩文程的会议室-说话人04(01:01:06): 不要。

韩文程的会议室-说话人01(01:01:06): 跟他自己留了他的信息。

韩文程的会议室-说话人04(01:01:09): 对就审批是同意还是不同意，然后处理完没处理完，你这里就是总之在销售这里就弄两保单，一个是提交自己的那个付款信息就是提交申请，我这回要提现多少钱 OK 吗？

韩文程的会议室-说话人02(01:01:26): 其他就是线下了？

韩文程的会议室-说话人04(01:01:27): 现在就先下。

韩文程的会议室-说话人02(01:01:28): 提交付款信息。

韩文程的会议室-说话人04(01:01:30): 我客户的账户的银行卡号！

韩文程的会议室-说话人02(01:01:35): 提交我的课。

韩文程的会议室-说话人04(01:01:37): 我要提现提到我卡上了，我要把我卡号跟你说保存就是管理自己的那个卡号和那个姓名，开户行那个信息，一个就是申请提现，就是这次你现在可提现的金额是你这不有吗？可提现金额是什么？然后我申这回申请提多少钱，那不就完了吗？然后后边咱找人审，找人去手动打转账就行了，很简单的事就是个表单。

韩文程的会议室-说话人02(01:01:53): 可提现金额是什么？

韩文程的会议室-说话人02(01:02:06): 消费交改成代理，然后反正就刚刚讲代理商的。

韩文程的会议室-说话人04(01:02:11): 那就不同。

韩文程的会议室-说话人02(01:02:11): 那就不同的对运行规则，这里就是反正不同的。

韩文程的会议室-说话人04(01:02:15): 对这里边对这个就是你看，所以再创建一个财务的管财务管理员的账号嘛，在销售管理员账号能第一能给不同的销售和代理那个分配那个代理比例分配角色。

韩文程的会议室-说话人02(01:02:30): 已经做了。

韩文程的会议室-说话人04(01:02:30): 那已经做了从哪管从哪？

韩文程的会议室-说话人02(01:02:33): 这外贸管理方管理。

韩文程的会议室-说话人04(01:02:33): 官方管理不行，官方管理员不能管这官方管理员咱会给咱交付团队的就是比如说咱我们在济南和在昆山。

韩文程的会议室-说话人01(01:02:44): 在画像？

韩文程的会议室-说话人04(01:02:45): 招了一堆交互团队是要让他们去用的，但是具体哪个代理商分分成比例多少，不可能让他们控制的得是咱自己那个财务什么控制的。

韩文程的会议室-说话人02(01:03:00): 就那官方的后台，你觉得需要哪些东西？

韩文程的会议室-说话人04(01:03:03): 对企业管理相关的这块，你可以提升另这块你提升这块，你提到另一个角色里面去。

韩文程的会议室-说话人02(01:03:09): 提到财务的角色。

韩文程的会议室-说话人04(01:03:11): 对或者高级管理或者财务。

韩文程的会议室-说话人02(01:03:13): 那前面这些，这些你必须要做吧？

韩文程的会议室-说话人04(01:03:15): 对这些跟企业相关的，就为为了给企业服务好，就是需要给企业服务的时候需要用的这些是就在官方管理员这边是跟钱有关的东西，你放到那个财务的财务管理员那边。

韩文程的会议室-说话人02(01:03:23): 在哪？那串，比如我们要建一个销售账号。

韩文程的会议室-说话人04(01:03:34): 也是也是让财务管理员去做规划了。

韩文程的会议室-说话人02(01:03:38): 那就是建建一个自己官方管理员的账号就在这个。

韩文程的会议室-说话人04(01:03:43): 也是财管或者叫高级管理员或者叫什么管理员？

韩文程的会议室-说话人02(01:03:46): 他就这些比较他们明白了这个项目或者我们自己来用。

韩文程的会议室-说话人04(01:03:51): 这个项目或者我们自己来用对或者这个叫什么叫交付工程师，或者这就不叫官方或者叫交付工程师，这个叫管理员？

韩文程的会议室-说话人02(01:03:59): 叫管理员！

韩文程的会议室-说话人04(01:04:01): 也行吧，就交付工程师跟企业交付有关的功能放到里边，跟企业交付没关的功能就不要让他们看见了。OK 吧。

韩文程的会议室-说话人03(01:04:15): 其实有可以结交会馆的功能有！

韩文程的会议室-说话人04(01:04:18): 有就是跟企业绑定或什么东西。

韩文程的会议室-说话人02(01:04:24): 绑定他让他登刚讲的让他登。

韩文程的会议室-说话人04(01:04:27): 那这里边有什么功能？

韩文程的会议室-说话人02(01:04:28): 这是省上答案。

韩文程的会议室-说话人03(01:04:30): 就订单对，这都是全是钱相关的。

韩文程的会议室-说话人02(01:04:31): 他对跟前。

韩文程的会议室-说话人03(01:04:33): 我系个 t。

韩文程的会议室-说话人02(01:04:34): 这款。

韩文程的会议室-说话人04(01:04:35): 那就没有就不管这还是用客户账号。

韩文程的会议室-说话人02(01:04:39): 对了。那就财务等等。

韩文程的会议室-说话人04(01:04:42): 比如创建企业账号，这个东西是不是得设备他们需要用的新增企业交互关联是要有新增企业，这个叫交互模式，要有新增企业这个功能。新创建企业。

韩文程的会议室-说话人02(01:04:58): 现在前那个八？

韩文程的会议室-说话人04(01:04:59): 包括就可以看到他可以看到现在这个每个企，这每个企业购买多少席位，这些东西包括销售这些，这就这个页面需要就是企业管理这个页面需要。

韩文程的会议室-说话人03(01:05:05): 然后销售这？

韩文程的会议室-说话人04(01:05:11): 剩下东西可能学，确实不需要就光。

韩文程的会议室-说话人03(01:05:13): 就发对，还有一个确认他退款，咱这次要发。

韩文程的会议室-说话人04(01:05:18): 退款。

韩文程的会议室-说话人03(01:05:20): 我是建议是要我们要对先线线下公布。

韩文程的会议室-说话人04(01:05:20): 现在不上，不要上线下沟沟通。

韩文程的会议室-说话人02(01:05:26): 那其实就是等于把。

韩文程的会议室-说话人04(01:05:28): 就把企业管理摘出来，叫放在什么交付工程师？

韩文程的会议室-说话人02(01:05:30): 我那我放在交付运维这里现在交付运维刚我们可能就是。

韩文程的会议室-说话人04(01:05:33): 交付运维 ok 工单加可以，我们。

韩文程的会议室-说话人02(01:05:38): 可以让他讨论是否需要工单。

韩文程的会议室-说话人04(01:05:40): 可以需要工单有工单。

韩文程的会议室-说话人02(01:05:42): 如果最好就刚刚讲说现在都排期比较紧，就是不要跟他系统。

韩文程的会议室-说话人04(01:05:47): 可以先不要也行后最后再加！

韩文程的会议室-说话人02(01:05:48): 就先把那个放放这里，或许再加就行。

韩文程的会议室-说话人04(01:05:50): 你下期可以先把最重要的做了！

韩文程的会议室-说话人02(01:05:54): 对销售这里这些东西客户池刚才也聊到客户池的东西。

韩文程的会议室-说话人04(01:05:59): 那销售对！

韩文程的会议室-说话人03(01:06:03): 对客户池是？

韩文程的会议室-说话人02(01:06:06): 对客户池是这个东西就是我们经营。

韩文程的会议室-说话人03(01:06:11): 没有首首首先在这就这个官网，我感觉不一定能搞得定，就算开发完了，咱在 SEO 推广，你找人的话还得做个小半个月。

韩文程的会议室-说话人04(01:06:19): 没事先有，因为 SEO 是官网你该有要有，因为你让客户用你是直接把这些甩给人家的。选举人家跟 S u 一点关系我。

韩文程的会议室-说话人03(01:06:28): 我知道我。

韩文程的会议室-说话人04(01:06:29): 所以官网一定要有，你要先能甩给人家！

韩文程的会议室-说话人03(01:06:34): 如果说开发排的5个周内。

韩文程的会议室-说话人04(01:06:36): 让 AI 写就，这现在 AI 写的不就不错吗？这不已经 AI 写完了吗？你现在就这样都行，你再加点额外的信息就行了，这不就挺好的吗？就写你担心什么，你现在这样就行，你把那个内容再填充一下就完事了，这东西现在静态页面 AI 写的比人写的都好着啥急！

韩文程的会议室-说话人03(01:07:01): 那你不如跟高碰一下，先简单换一下元素，咱先把这个东西。

韩文程的会议室-说话人04(01:07:04): 不用先重名设计，就可以先说。

韩文程的会议室-说话人02(01:07:08): 我跟他说了就让他打。

韩文程的会议室-说话人04(01:07:10): 在这基础上改就行？

韩文程的会议室-说话人02(01:07:11): 我们上台对超对比的超的国产的东西。所以后面。

韩文程的会议室-说话人03(01:07:16): 然后包括他昨天石芳说的嘛，把我们跟小林他合作的这些重点体现出来！

韩文程的会议室-说话人04(01:07:21): 对就加加些元素就行了，可以没那么好看。

韩文程的会议室-说话人03(01:07:22): 对然后3元素？

韩文程的会议室-说话人02(01:07:24): 我看。

韩文程的会议室-说话人03(01:07:24): 把元素换一换。

韩文程的会议室-说话人04(01:07:26): 把元素节气都加一加就行了。

韩文程的会议室-说话人02(01:07:27): 是不是就把这些东西抄过来。

韩文程的会议室-说话人04(01:07:29): 也可以把咱自己的元素再往上加一加，你可以完全比这个操作没问题，你就直接让那个 AI 比着写都行？

韩文程的会议室-说话人02(01:07:36): 我现在基本上比可以。

韩文程的会议室-说话人04(01:07:37): 可以没问题！

韩文程的会议室-说话人03(01:07:39): 那就先改成元素，那就改元素就行了。

韩文程的会议室-说话人04(01:07:40): 你在就改元素就行。

韩文程的会议室-说话人02(01:07:43): 然后还上对还有一个像小助手的。

韩文程的会议室-说话人03(01:07:53): 在线咨询。

韩文程的会议室-说话人04(01:07:56): 这不是咱那个东西吗？

韩文程的会议室-说话人01(01:07:58): 现在只要聊天吗？不接 M？是不是就只是问答的就是配那个字库问答？

韩文程的会议室-说话人04(01:08:04): 咱那 M 也得结上说咱那套不是做完了吗？就给他配一个不就完了吗？咱给贝斯的给蓝红宝那个配上来就行了，不需要单独做。就配一下不就完了吗？给咱自己用上不就完了，这很难吗？是不是你不要只真的要重新设计，你就直接就还这个圈在这不就完事了吗？

韩文程的会议室-说话人01(01:08:25): 跟插件一样的样子。

韩文程的会议室-说话人04(01:08:28): 不是在咱自己那个系统上给咱再开个租户，往这一配就完事了，不用做任何的开发。

韩文程的会议室-说话人01(01:08:29): 在咱自己身上。

韩文程的会议室-说话人04(01:08:36): 就把那知识库什么一传，在那边咱们不都弄好了吗？那边这不是直接一用就行了，相当于咱是一个咱自己是咱自己的客户！

韩文程的会议室-说话人02(01:08:48): 对我们看一下注册那。客户第一次注册，他会让他填这些信息。

韩文程的会议室-说话人02(01:08:59): 那是不是客户的名称社会信用代码？

韩文程的会议室-说话人04(01:09:04): 需要吗？

韩文程的会议室-说话人02(01:09:07): 我们刚刚之前不是说他们讲了，就是以社会信用代码作为他唯一的标识去做。

韩文程的会议室-说话人04(01:09:09): OK 可以。

韩文程的会议室-说话人02(01:09:14): 就去提交注册，然后成为第一个第。

韩文程的会议室-说话人04(01:09:17): 邀请码的话？

韩文程的会议室-说话人02(01:09:18): 邀请码会删了？

韩文程的会议室-说话人04(01:09:20): 因为不同销售有一个什么？

韩文程的会议室-说话人02(01:09:22): 有个链接删了，只要测试的话，第一个就是他那个管超级管理员，他的管理员对，然后就是就他那个的刚刚我们讲的那个管理后台。

韩文程的会议室-说话人04(01:09:23): 没有链接。对。这样可以了。

韩文程的会议室-说话人02(01:09:36): 座谈。然后这个后台就最后你刚刚讲就是说我们暴露给这个他们后台是意思你，比如运维和企业定制，可能他们需要就运维这些是不是他？

韩文程的会议室-说话人04(01:09:50): 也可以留在这，你咱都说让咱自己的管理员过来操作了，那你这个东西就1:1复刻后台就行。

韩文程的会议室-说话人02(01:09:52): 行就逻辑很简单。

韩文程的会议室-说话人04(01:09:58): 你就这个逻辑很简单，对很简单了，这就总之咱就1:1的，除了那几个别的角色的那边是新做的，这周就1:1的复刻1:1的调人家接口就行了。

韩文程的会议室-说话人02(01:10:10): 郑光是干了这里这些刚假设已经是。

韩文程的会议室-说话人04(01:10:15): 你就全都不动了，就1:1复刻！

韩文程的会议室-说话人02(01:10:16): 一，他那里有他那也是跟我们这里也是有不一样。

韩文程的会议室-说话人04(01:10:19): 就1:1复刻就好了！

韩文程的会议室-说话人04(01:10:22): 就现阶段就1:1复刻的了，咱一点都不动！

韩文程的会议室-说话人01(01:10:26): 但是先现在有个问题，那你这个配置其实就因为现在没他们那边没有多租户嘛，那你这个配的话，它其实是全局生效的。

韩文程的会议室-说话人04(01:10:34): 我知道顶多就是他，到时候他看到用户说所有的 API 都会额外增加一个参数而已。

韩文程的会议室-说话人01(01:10:40): 对我的意思现在如果说暴露给他们那两家配。现在因为只有一家。

韩文程的会议室-说话人04(01:10:45): 你现在等咱肯定等多租户上线之后再上线，咱你现在就先按着没有租户开发，到时候统一改一下，结果就发了。

韩文程的会议室-说话人01(01:10:53): 你改一下结果我的意思，所以说现在这一块是不是要先给他隐藏，不应该现在去配？

韩文程的会议室-说话人04(01:10:57): 不用不，你先按这个开发，因为咱一定会等他多多租户上线之后咱再上线这玩意目前只有咱自己人在用，咱自己只为你们开发用到时候顶多多多再加一个参数就好了！

韩文程的会议室-说话人01(01:11:10): 因为我们那边还是要去他那边都周末上。

韩文程的会议室-说话人04(01:11:12): 对他上了之后咱才会上的咱一定比他上的晚，因为他那时候上单没法用。

韩文程的会议室-说话人01(01:11:17): 那我知道，我以为说我们现在直接就是这样上线，然后才。

韩文程的会议室-说话人04(01:11:19): 现在没法回客户，我们现在没法给客户用这个东西没有租户，咱没法给客户用！

韩文程的会议室-说话人01(01:11:24): 行，那我知道，我们就先按照他这个东西开。

韩文程的会议室-说话人04(01:11:27): 对1:1的开发就行了。

韩文程的会议室-说话人01(01:11:28): 看一下，或者他们调整，我们再去调整。

韩文程的会议室-说话人04(01:11:30): OK，没啥问题了，都明确了吧？跟你给食堂同步一下，大家可能之前有些刚毕业的！

韩文程的会议室-说话人02(01:11:41): 从那里？

韩文程的会议室-说话人04(01:11:44): 支付还有收一天这个东西。

韩文程的会议室-说话人03(01:11:45): 支付还有？所有 AI 和费用还有 epi 就这些东西，反正就这3号。

韩文程的会议室-说话人04(01:11:49): 东西给他同步一下。

韩文程的会议室-说话人02(01:11:51): 发现。

韩文程的会议室-说话人03(01:11:56): 支付缺两个，还有合合同确认。

韩文程的会议室-说话人02(01:12:01): 是不能确认？

韩文程的会议室-说话人03(01:12:05): 线下确认，再去一个线上支付。

韩文程的会议室-说话人04(01:12:07): 全责我全都要对。

韩文程的会议室-说话人03(01:12:10): 然后分分分优的话就是那个。

韩文程的会议室-说话人04(01:12:10): 然后。

韩文程的会议室-说话人03(01:12:14): 表达。

韩文程的会议室-说话人02(01:12:16): 对。

韩文程的会议室-说话人03(01:12:17): 不用一次两个维护自己账号。

韩文程的会议室-说话人04(01:12:18): 能不是。

韩文程的会议室-说话人03(01:12:19): 然后还有对账单对个账。虽然其他在路往其他的页面上就1:1复刻火山。

韩文程的会议室-说话人01(01:12:26): 控制。

韩文程的会议室-说话人02(01:12:27): 对客户1:1然后管理员这边就是我来调一下，就刚刚说权限是。

韩文程的会议室-说话人03(01:12:32): 我刚刚权限是？

韩文程的会议室-说话人02(01:12:35): 给财务用的嘛，然后除了企业文。

韩文程的会议室-说话人03(01:12:37): 除了企业管理，我就再加个，比如说。

韩文程的会议室-说话人02(01:12:39): 就是交付嘛，把交付工单这个隐藏了，然后把那个企业信息复制一条过来？

韩文程的会议室-说话人01(01:12:47): 那其实超级安全你都不需要动的，本来关联财务和我们是用一个还是只能改？

韩文程的会议室-说话人02(01:12:54): 只能给财务看的。

韩文程的会议室-说话人01(01:12:56): 对我的意思下面这种订单啥的，其实就没必要在这个系统上就直接弄。我的意思客户官方话，你的说也？

韩文程的会议室-说话人02(01:13:04): 你的说给官方管理员做一个权限去区分？

韩文程的会议室-说话人01(01:13:08): 不是专门管理就不动，直接把公司管理直接放到交互页面就行。

韩文程的会议室-说话人02(01:13:12): 对我对这样的对把这个 copy 分过去接管。其他的也基本上就这些了，就还要把这些页面再整体收一遍。

韩文程的会议室-说话人01(01:13:30): 那你说我们到时候五月一后边再拿一个原型来做对，我们今天就不改了。

韩文程的会议室-说话人02(01:13:34): 对今天就不改了，根本定对。

韩文程的会议室-说话人03(01:13:36): 下午拉会一个会对完了以后把这个丽丽你把那个项目发给他，下午再。在这里我要把。

韩文程的会议室-说话人02(01:13:44): 我要把这个时间放到拉拉的给里去？

韩文程的会议室-说话人01(01:13:47): 你我们先看！

韩文程的会议室-说话人03(01:13:50): 你把这个群里之后你整一下都有哪些记录发给我。

韩文程的会议室-说话人01(01:13:55): 结果。这个说我也去看所有的不用说一下你。

韩文程的会议室-说话人02(01:14:00): 你最好是直接拿着火山那个界面去跟他说，因为这里会有一些一点点。
